tokenized_text,業界
"['岡山', '県', '井原', '市', '自動車', '部品', '農機具', '部品', '製造']",自動車部品・カー用品製造業界の会社
"['神奈川', '県', '横浜', '市', '中心', '様々', '介護', 'サービス', '事業', '展開', '介護', '保険', '外', 'サービス', '福祉', '用具', 'レンタル', '販売', 'ほか', '介護', '福祉', '士', '実務', '者', '研修', '求職', '者', '支援', '訓練', 'スクール', '事業']",高齢者向け福祉業界の会社
"['アルパイン', 'ブランド', 'カー', '用品', 'マーケティング', '企画', '開発', '製造', '販売', '製品', 'カーナビ', 'はじめ', '席', 'モニター', 'カー', 'オーディオ', 'ドライブ', 'レコーダー', '自社', 'ウェブショップ', '販売']",自動車部品・カー用品製造業界の会社
"['温泉', '旅館', '安房', '温泉', '紀伊', '乃国屋', '宿', 'ビーチ', 'サイド', '温泉', 'リゾート', 'ゆうみ', '運営', 'グループ', '旅館', '南', '房総', '水揚げ', '魚介', '地下', '600', 'メートル', '湧出', '天然', '温泉', 'こと']",ホテル・旅館業界の会社
"['日本', '登録', '商品', '中国', '顧客', '購入', '商品', '発送', '一貫', '管理', '中国', '向け', 'ワン', 'ストップ', '型', '越境', 'EC', 'プラットフォーム', '豌豆', '(', 'ワンドウ', ')', 'プラットフォーム', '運営', '越境', 'EC', 'アプリ', '豌豆', '公主', 'ワンドウ', '運営', '中国', 'SNS', '活用', 'マーケティング', '支援']",Webサービス・アプリ運営業界の会社
"['箱根湯本', '温泉郷', '温泉', '付き', 'ホテル', '天成', '園', '運営', '会社', '縁結び', '神', '九', '頭', '龍', '神社', '参拝', 'ため', '連', '泊', 'プラン', '九', '頭', '龍', '神社', '参拝', 'プラン', '和室', 'ベッド', '和', 'モダン', '風', '客室', 'さ', 'サービス', '提供']",ホテル・旅館業界の会社
"['様々', '種類', 'ライブチャットコンテンツ', '企画', '開発', '運営', '会社', 'ホームページ', '企画', '立案', '情報', 'ネットワーク', '関連', '通信', 'システム', '企画', '設計', '運営', '管理', '事業']",Webサービス・アプリ運営業界の会社
"['北海道', '札幌', '市', '拠点', '訪問', '看護', '介護', '予防', '訪問', '看護', '業務', '新さっぽろ', '訪問', '看護', 'ステーション', '椿', '運営']",高齢者向け福祉業界の会社
"['東京', '都', '中心', 'ヘアサロン', 'AFLOAT', '運営', 'ヘア', 'ケア', '関連', '商品', '企画', '販売', 'プロモーション', '業務', '展開', 'その他', '自社', 'Web', 'サイト', 'ヘア', 'ケア', '用品', '販売']",美容サロン業界の会社
"['北海道', '札幌', '市', '拠点', 'セコム', 'グループ', '会社', '常駐', '警備', 'サービス', '専門', '主', '契約', '先', '施設', '内', '安全', '管理', '出入', '管理', '立', '哨', '巡回', '設備', '点検', '交替', '制', '常駐', '警備', 'サービス', '提供']",警備業界の会社
"['千葉', '県', '我孫子', '市内', 'タクシー', '業務', '京成', 'グループ', 'タクシー', '傘下', '合同', 'タクシー', '株式会社', '完全', '子会社', 'タクシー', '24', '両', '保有', '全車', 'ドライブ', 'レコーダー', 'カーナビ', 'クレジット', '決済', '機', '搭載', '従業', '員', '2', '種', '免許', '取得', '費用', '会社', '全額', '負担', '点', '特徴']",タクシー業界の会社
"['滋賀', '県', '高島', '市', '今津', 'サン', 'ブリッジ', 'ホテル', '運営', '湖畔', 'レストラン', 'しみ', '運営']",ホテル・旅館業界の会社
